"","Protein.Gene","Replicate.Name","Protein.Intensity","Condition","Imputed_data","BiolReplicates"
"1","OPTN","PA12B_D1h",0.245109654961779,"24h DFP",FALSE,NA
"2","OPTN","PA12B_D3",0.181106295430299,"24h DFP",FALSE,NA
"3","OPTN","PA12B_D4",0.146139640528821,"24h DFP",FALSE,NA
"4","OPTN","PA12B_D5",0.16522694507125,"24h DFP",FALSE,NA
"5","OPTN","PA12B_E1",0.241953914062211,"24h DFP + ConA",FALSE,NA
"6","OPTN","PA12B_E2h",0.423711681049878,"24h DFP + ConA",FALSE,NA
"7","OPTN","PA12B_E3h",0.509461302823608,"24h DFP + ConA",FALSE,NA
"8","OPTN","PA12B_E4_2",0.359838256223952,"24h DFP + ConA",FALSE,NA
"9","OPTN","PA12B_E5",0.22210068475025,"24h DFP + ConA",FALSE,NA
"10","OPTN","PA12B_H1",0.223624971481653,"24h Ctrl",FALSE,NA
"11","OPTN","PA12B_H2",0.202466185958873,"24h Ctrl",FALSE,NA
"12","OPTN","PA12B_H3",0.304017045536284,"24h Ctrl",FALSE,NA
"13","OPTN","PA12B_H4",0.266720570022705,"24h Ctrl",FALSE,NA
"14","OPTN","PA12B_H5",0.244248743647465,"24h Ctrl",FALSE,NA
"15","OPTN","PA12B_I1",0.440735991681882,"24h ConA",FALSE,NA
"16","OPTN","PA12B_I2",0.178458407237167,"24h ConA",FALSE,NA
"17","OPTN","PA12B_I3",0.212454287685457,"24h ConA",FALSE,NA
"18","OPTN","PA12B_I4",0.25715759005271,"24h ConA",FALSE,NA
"19","OPTN","PA12B_I5",0.231846062792727,"24h ConA",FALSE,NA
"20","ATG2A","PA12B_D1h",0.037176297643198,"24h DFP",TRUE,NA
"21","ATG2A","PA12B_D3",0.0263849857504034,"24h DFP",FALSE,NA
"22","ATG2A","PA12B_D4",0.0208150068457313,"24h DFP",FALSE,NA
"23","ATG2A","PA12B_D5",0.0248215761852092,"24h DFP",FALSE,NA
"24","ATG2A","PA12B_E1",0.0953552035710674,"24h DFP + ConA",FALSE,NA
"25","ATG2A","PA12B_E2h",0.133372720383322,"24h DFP + ConA",FALSE,NA
"26","ATG2A","PA12B_E3h",0.162200127320823,"24h DFP + ConA",FALSE,NA
"27","ATG2A","PA12B_E4_2",0.099718635400927,"24h DFP + ConA",FALSE,NA
"28","ATG2A","PA12B_E5",0.097263102931216,"24h DFP + ConA",FALSE,NA
"29","ATG2A","PA12B_H1",0.0549198426840246,"24h Ctrl",FALSE,NA
"30","ATG2A","PA12B_H2",0.0518654554762915,"24h Ctrl",FALSE,NA
"31","ATG2A","PA12B_H3",0.0567199246252132,"24h Ctrl",FALSE,NA
"32","ATG2A","PA12B_H4",0.0590037247219406,"24h Ctrl",FALSE,NA
"33","ATG2A","PA12B_H5",0.0491845395760295,"24h Ctrl",FALSE,NA
"34","ATG2A","PA12B_I1",0.139979794020772,"24h ConA",FALSE,NA
"35","ATG2A","PA12B_I2",0.0670272269480705,"24h ConA",FALSE,NA
"36","ATG2A","PA12B_I3",0.0667752879594857,"24h ConA",FALSE,NA
"37","ATG2A","PA12B_I4",0.0767899639168875,"24h ConA",FALSE,NA
"38","ATG2A","PA12B_I5",0.0685967420166123,"24h ConA",FALSE,NA
"39","ATG3","PA12B_D1h",0.535821567377465,"24h DFP",FALSE,NA
"40","ATG3","PA12B_D3",0.552346448922677,"24h DFP",FALSE,NA
"41","ATG3","PA12B_D4",0.440218846435713,"24h DFP",FALSE,NA
"42","ATG3","PA12B_D5",0.485734934247066,"24h DFP",FALSE,NA
"43","ATG3","PA12B_E1",0.577128217441131,"24h DFP + ConA",FALSE,NA
"44","ATG3","PA12B_E2h",0.774884849861762,"24h DFP + ConA",FALSE,NA
"45","ATG3","PA12B_E3h",1.06119474086283,"24h DFP + ConA",FALSE,NA
"46","ATG3","PA12B_E4_2",0.596455306213027,"24h DFP + ConA",FALSE,NA
"47","ATG3","PA12B_E5",0.560158778083224,"24h DFP + ConA",FALSE,NA
"48","ATG3","PA12B_H1",0.709893712983471,"24h Ctrl",FALSE,NA
"49","ATG3","PA12B_H2",0.685419053709635,"24h Ctrl",FALSE,NA
"50","ATG3","PA12B_H3",0.88876409549462,"24h Ctrl",FALSE,NA
"51","ATG3","PA12B_H4",0.848310291511447,"24h Ctrl",FALSE,NA
"52","ATG3","PA12B_H5",0.666873551682445,"24h Ctrl",FALSE,NA
"53","ATG3","PA12B_I1",1.00546241018641,"24h ConA",FALSE,NA
"54","ATG3","PA12B_I2",0.593056345135281,"24h ConA",FALSE,NA
"55","ATG3","PA12B_I3",0.68110199311432,"24h ConA",FALSE,NA
"56","ATG3","PA12B_I4",0.620735970385923,"24h ConA",FALSE,NA
"57","ATG3","PA12B_I5",0.6263356400589,"24h ConA",FALSE,NA
"58","ATG7","PA12B_D1h",0.309728294753635,"24h DFP",FALSE,NA
"59","ATG7","PA12B_D3",0.334785942403874,"24h DFP",FALSE,NA
"60","ATG7","PA12B_D4",0.265224989405164,"24h DFP",FALSE,NA
"61","ATG7","PA12B_D5",0.298308504611856,"24h DFP",FALSE,NA
"62","ATG7","PA12B_E1",0.401058300520726,"24h DFP + ConA",FALSE,NA
"63","ATG7","PA12B_E2h",0.464223524462254,"24h DFP + ConA",FALSE,NA
"64","ATG7","PA12B_E3h",0.658049796348052,"24h DFP + ConA",FALSE,NA
"65","ATG7","PA12B_E4_2",0.354658103432138,"24h DFP + ConA",FALSE,NA
"66","ATG7","PA12B_E5",0.38631297101773,"24h DFP + ConA",FALSE,NA
"67","ATG7","PA12B_H1",0.380228691118564,"24h Ctrl",FALSE,NA
"68","ATG7","PA12B_H2",0.389377851208832,"24h Ctrl",FALSE,NA
"69","ATG7","PA12B_H3",0.436008746124442,"24h Ctrl",FALSE,NA
"70","ATG7","PA12B_H4",0.435613117004157,"24h Ctrl",FALSE,NA
