"","Protein.Gene","Replicate.Name","Protein.Intensity","Condition","Imputed_data","BiolReplicates"
"1","OPTN","PA15_D3_2",0.0114815763299766,"DMEM",FALSE,"D1"
"2","OPTN","PA15_D4_3",0.0115625886626816,"DMEM",FALSE,"D2"
"3","OPTN","PA15_D5_2",0.0109196936483132,"DMEM",FALSE,"D3"
"4","OPTN","PA15_DB1_1",0.0092873600069555,"DMEM + BafA1",FALSE,"DB1"
"5","OPTN","PA15_DB2_1",0.0118523814756224,"DMEM + BafA1",FALSE,"DB2"
"6","OPTN","PA15_DB3_1",0.0108034935230168,"DMEM + BafA1",FALSE,"DB3"
"7","OPTN","PA15_D1_5",0.0108198709186675,"DMEM",FALSE,""
"8","OPTN","PA15_D2_3",0.0115762377939693,"DMEM",FALSE,""
"9","OPTN","PA15_DB4_1",0.0115356096671005,"DMEM + BafA1",FALSE,""
"10","OPTN","PA15_DB5_1",0.0137377513050175,"DMEM + BafA1",FALSE,""
"11","OPTN","PA15_H1_1",0.0121612262164534,"HBSS",FALSE,""
"12","OPTN","PA15_H3_1",0.01268019325238,"HBSS",FALSE,""
"13","OPTN","PA15_H4_1",0.0114525042896615,"HBSS",FALSE,""
"14","OPTN","PA15_H5_1",0.0132104916088757,"HBSS",FALSE,""
"15","OPTN","PA15_HB1_1",0.0129628829982798,"HBSS + BafA1",FALSE,""
"16","OPTN","PA15_HB2_1",0.0125291062641021,"HBSS + BafA1",FALSE,""
"17","OPTN","PA15_HB3_1",0.0170722509556354,"HBSS + BafA1",FALSE,""
"18","OPTN","PA15_HB4_1",0.013072999763683,"HBSS + BafA1",FALSE,""
"19","OPTN","PA15_HB5_1",0.0149001134083573,"HBSS + BafA1",FALSE,""
"20","OPTN","PA15_G1_1",0.00893973560877821,"-Glc",FALSE,""
"21","OPTN","PA15_G2_1",0.0111045677450601,"-Glc",FALSE,""
"22","OPTN","PA15_G3_1",0.00682540118325525,"-Glc",FALSE,""
"23","OPTN","PA15_G4_1",0.00990690147263774,"-Glc",FALSE,""
"24","OPTN","PA15_G5_1",0.00877690432434956,"-Glc",FALSE,""
"25","OPTN","PA15_GB1_1",0.00790348027727587,"-Glc + BafA1",FALSE,""
"26","OPTN","PA15_GB2_1",0.00741487148516129,"-Glc + BafA1",FALSE,""
"27","OPTN","PA15_GB3_1",0.0092302400851931,"-Glc + BafA1",FALSE,""
"28","OPTN","PA15_GB4_1",0.00641283574333322,"-Glc + BafA1",FALSE,""
"29","OPTN","PA15_GB5_1",0.00948123901180909,"-Glc + BafA1",FALSE,""
"30","OPTN","PA15_H2_2",0.0118533830699391,"HBSS",FALSE,""
"31","ATG2A","PA15_D3_2",0.023992410767828,"DMEM",FALSE,"D1"
"32","ATG2A","PA15_D4_3",0.0250069504662307,"DMEM",FALSE,"D2"
"33","ATG2A","PA15_D5_2",0.0211789842683597,"DMEM",FALSE,"D3"
"34","ATG2A","PA15_DB1_1",0.018824430632397,"DMEM + BafA1",FALSE,"DB1"
"35","ATG2A","PA15_DB2_1",0.0237780690202656,"DMEM + BafA1",FALSE,"DB2"
"36","ATG2A","PA15_DB3_1",0.020483985347575,"DMEM + BafA1",FALSE,"DB3"
"37","ATG2A","PA15_D1_5",0.0225854978984305,"DMEM",FALSE,""
"38","ATG2A","PA15_D2_3",0.0224859382686495,"DMEM",FALSE,""
"39","ATG2A","PA15_DB4_1",0.0221593704087069,"DMEM + BafA1",FALSE,""
"40","ATG2A","PA15_DB5_1",0.0269541566797341,"DMEM + BafA1",FALSE,""
"41","ATG2A","PA15_H1_1",0.0309237865560371,"HBSS",FALSE,""
"42","ATG2A","PA15_H3_1",0.0278955761378843,"HBSS",FALSE,""
"43","ATG2A","PA15_H4_1",0.0266434906751306,"HBSS",FALSE,""
"44","ATG2A","PA15_H5_1",0.0277163836665473,"HBSS",FALSE,""
"45","ATG2A","PA15_HB1_1",0.0292256597681255,"HBSS + BafA1",FALSE,""
"46","ATG2A","PA15_HB2_1",0.0268777196838332,"HBSS + BafA1",FALSE,""
"47","ATG2A","PA15_HB3_1",0.0318929370826508,"HBSS + BafA1",FALSE,""
"48","ATG2A","PA15_HB4_1",0.0274917062408434,"HBSS + BafA1",FALSE,""
"49","ATG2A","PA15_HB5_1",0.0290805953232861,"HBSS + BafA1",FALSE,""
"50","ATG2A","PA15_G1_1",0.0244528497473267,"-Glc",FALSE,""
"51","ATG2A","PA15_G2_1",0.0275730999004938,"-Glc",FALSE,""
"52","ATG2A","PA15_G3_1",0.0198547136791378,"-Glc",FALSE,""
"53","ATG2A","PA15_G4_1",0.0264155931883589,"-Glc",FALSE,""
"54","ATG2A","PA15_G5_1",0.0218310423032848,"-Glc",FALSE,""
"55","ATG2A","PA15_GB1_1",0.0214554582575079,"-Glc + BafA1",FALSE,""
"56","ATG2A","PA15_GB2_1",0.0191382920904416,"-Glc + BafA1",FALSE,""
"57","ATG2A","PA15_GB3_1",0.0248506747848933,"-Glc + BafA1",FALSE,""
"58","ATG2A","PA15_GB4_1",0.0180166410495126,"-Glc + BafA1",FALSE,""
"59","ATG2A","PA15_GB5_1",0.0239528482647832,"-Glc + BafA1",FALSE,""
"60","ATG2A","PA15_H2_2",0.0298653399067626,"HBSS",FALSE,""
"61","ATG3","PA15_D3_2",0.343838999274938,"DMEM",FALSE,"D1"
"62","ATG3","PA15_D4_3",0.352645282926234,"DMEM",FALSE,"D2"
"63","ATG3","PA15_D5_2",0.299197764602272,"DMEM",FALSE,"D3"
"64","ATG3","PA15_DB1_1",0.269792006247561,"DMEM + BafA1",FALSE,"DB1"
"65","ATG3","PA15_DB2_1",0.364787738250657,"DMEM + BafA1",FALSE,"DB2"
"66","ATG3","PA15_DB3_1",0.297482435611309,"DMEM + BafA1",FALSE,"DB3"
"67","ATG3","PA15_D1_5",0.297528497521283,"DMEM",FALSE,""
"68","ATG3","PA15_D2_3",0.334098074303915,"DMEM",FALSE,""
"69","ATG3","PA15_DB4_1",0.35450508648818,"DMEM + BafA1",FALSE,""
"70","ATG3","PA15_DB5_1",0.412415993031009,"DMEM + BafA1",FALSE,""
"71","ATG3","PA15_H1_1",0.475273281551157,"HBSS",FALSE,""
"72","ATG3","PA15_H3_1",0.391401214457943,"HBSS",FALSE,""
"73","ATG3","PA15_H4_1",0.392215405414358,"HBSS",FALSE,""
"74","ATG3","PA15_H5_1",0.436948946373449,"HBSS",FALSE,""
