"","Protein.Gene","Replicate.Name","Protein.Intensity","Condition","Imputed_data","BiolReplicates"
"1","OPTN","PA15_D3_2",0.0319779487282533,"DMEM",FALSE,"D1"
"2","OPTN","PA15_D3_4",0.0324885338846057,"DMEM",FALSE,"D1"
"3","OPTN","PA15_D3_5",0.0341540626004548,"DMEM",FALSE,"D1"
"4","OPTN","PA15_D4_3",0.03183447798017,"DMEM",FALSE,"D2"
"5","OPTN","PA15_D4_4",0.0322597178445845,"DMEM",FALSE,"D2"
"6","OPTN","PA15_D4_5",0.0314259451286545,"DMEM",FALSE,"D2"
"7","OPTN","PA15_D5_2",0.0287508832804438,"DMEM",FALSE,"D3"
"8","OPTN","PA15_D5_4",0.0285362205121645,"DMEM",FALSE,"D3"
"9","OPTN","PA15_D5_5",0.0286490861041262,"DMEM",FALSE,"D3"
"10","OPTN","PA15_DB1_1",0.0239482188248501,"DMEM + BafA1",FALSE,"DB1"
"11","OPTN","PA15_DB1_2",0.0260699435924223,"DMEM + BafA1",FALSE,"DB1"
"12","OPTN","PA15_DB1_3",0.0268288244136808,"DMEM + BafA1",FALSE,"DB1"
"13","OPTN","PA15_DB2_1",0.0345173844880434,"DMEM + BafA1",FALSE,"DB2"
"14","OPTN","PA15_DB2_2",0.0337151282686213,"DMEM + BafA1",FALSE,"DB2"
"15","OPTN","PA15_DB2_3",0.0332936830674725,"DMEM + BafA1",FALSE,"DB2"
"16","OPTN","PA15_DB3_1",0.0280854918796184,"DMEM + BafA1",FALSE,"DB3"
"17","OPTN","PA15_DB3_2",0.0285951083753183,"DMEM + BafA1",FALSE,"DB3"
"18","OPTN","PA15_DB3_3",0.0288809799818738,"DMEM + BafA1",FALSE,"DB3"
"19","ATG2A","PA15_D3_2",0.0286106019959402,"DMEM",FALSE,"D1"
"20","ATG2A","PA15_D3_4",0.028198922741223,"DMEM",FALSE,"D1"
"21","ATG2A","PA15_D3_5",0.0265891402665407,"DMEM",FALSE,"D1"
"22","ATG2A","PA15_D4_3",0.0279191075578395,"DMEM",FALSE,"D2"
"23","ATG2A","PA15_D4_4",0.0280415564752913,"DMEM",FALSE,"D2"
"24","ATG2A","PA15_D4_5",0.0268973381206509,"DMEM",FALSE,"D2"
"25","ATG2A","PA15_D5_2",0.0249929150767201,"DMEM",FALSE,"D3"
"26","ATG2A","PA15_D5_4",0.0247936674115739,"DMEM",FALSE,"D3"
"27","ATG2A","PA15_D5_5",0.0246482204792872,"DMEM",FALSE,"D3"
"28","ATG2A","PA15_DB1_1",0.0222131038084919,"DMEM + BafA1",FALSE,"DB1"
"29","ATG2A","PA15_DB1_2",0.0224717774344983,"DMEM + BafA1",FALSE,"DB1"
"30","ATG2A","PA15_DB1_3",0.0235294965598812,"DMEM + BafA1",FALSE,"DB1"
"31","ATG2A","PA15_DB2_1",0.0285759624850345,"DMEM + BafA1",FALSE,"DB2"
"32","ATG2A","PA15_DB2_2",0.0282339065112874,"DMEM + BafA1",FALSE,"DB2"
"33","ATG2A","PA15_DB2_3",0.0282032195192003,"DMEM + BafA1",FALSE,"DB2"
"34","ATG2A","PA15_DB3_1",0.0255161912042157,"DMEM + BafA1",FALSE,"DB3"
"35","ATG2A","PA15_DB3_2",0.0256414229474393,"DMEM + BafA1",FALSE,"DB3"
"36","ATG2A","PA15_DB3_3",0.0261746648554531,"DMEM + BafA1",FALSE,"DB3"
"37","ATG3","PA15_D3_2",0.343838999274938,"DMEM",FALSE,"D1"
"38","ATG3","PA15_D3_4",0.348448413148864,"DMEM",FALSE,"D1"
"39","ATG3","PA15_D3_5",0.351957880115135,"DMEM",FALSE,"D1"
"40","ATG3","PA15_D4_3",0.352645282926234,"DMEM",FALSE,"D2"
"41","ATG3","PA15_D4_4",0.340575559587966,"DMEM",FALSE,"D2"
"42","ATG3","PA15_D4_5",0.340344311554109,"DMEM",FALSE,"D2"
"43","ATG3","PA15_D5_2",0.299197764602272,"DMEM",FALSE,"D3"
"44","ATG3","PA15_D5_4",0.297663707837719,"DMEM",FALSE,"D3"
"45","ATG3","PA15_D5_5",0.30622648615688,"DMEM",FALSE,"D3"
"46","ATG3","PA15_DB1_1",0.269792006247561,"DMEM + BafA1",FALSE,"DB1"
"47","ATG3","PA15_DB1_2",0.253188452050234,"DMEM + BafA1",FALSE,"DB1"
"48","ATG3","PA15_DB1_3",0.26176225239994,"DMEM + BafA1",FALSE,"DB1"
"49","ATG3","PA15_DB2_1",0.364787738250657,"DMEM + BafA1",FALSE,"DB2"
"50","ATG3","PA15_DB2_2",0.36512076875302,"DMEM + BafA1",FALSE,"DB2"
"51","ATG3","PA15_DB2_3",0.374855918997163,"DMEM + BafA1",FALSE,"DB2"
"52","ATG3","PA15_DB3_1",0.297482435611309,"DMEM + BafA1",FALSE,"DB3"
"53","ATG3","PA15_DB3_2",0.299414710562072,"DMEM + BafA1",FALSE,"DB3"
"54","ATG3","PA15_DB3_3",0.294214558470246,"DMEM + BafA1",FALSE,"DB3"
"55","ATG7","PA15_D3_2",0.0684834292385022,"DMEM",FALSE,"D1"
"56","ATG7","PA15_D3_4",0.0677406164441759,"DMEM",FALSE,"D1"
"57","ATG7","PA15_D3_5",0.0749536060890504,"DMEM",FALSE,"D1"
"58","ATG7","PA15_D4_3",0.0654647553713355,"DMEM",FALSE,"D2"
"59","ATG7","PA15_D4_4",0.0663110957881418,"DMEM",FALSE,"D2"
"60","ATG7","PA15_D4_5",0.0656514713101617,"DMEM",FALSE,"D2"
"61","ATG7","PA15_D5_2",0.0572127722100574,"DMEM",FALSE,"D3"
"62","ATG7","PA15_D5_4",0.0584892813848589,"DMEM",FALSE,"D3"
"63","ATG7","PA15_D5_5",0.0621662489676943,"DMEM",FALSE,"D3"
"64","ATG7","PA15_DB1_1",0.0588562749347915,"DMEM + BafA1",FALSE,"DB1"
"65","ATG7","PA15_DB1_2",0.0552194896984499,"DMEM + BafA1",FALSE,"DB1"
"66","ATG7","PA15_DB1_3",0.0565483203839084,"DMEM + BafA1",FALSE,"DB1"
"67","ATG7","PA15_DB2_1",0.0730401362201979,"DMEM + BafA1",FALSE,"DB2"
"68","ATG7","PA15_DB2_2",0.0722937331933239,"DMEM + BafA1",FALSE,"DB2"
"69","ATG7","PA15_DB2_3",0.0742399345404026,"DMEM + BafA1",FALSE,"DB2"
"70","ATG7","PA15_DB3_1",0.0659029633804891,"DMEM + BafA1",FALSE,"DB3"
"71","ATG7","PA15_DB3_2",0.0678172980773689,"DMEM + BafA1",FALSE,"DB3"
"72","ATG7","PA15_DB3_3",0.0669982416302851,"DMEM + BafA1",FALSE,"DB3"
"73","ATG9A","PA15_D3_2",0.00714228952163792,"DMEM",FALSE,"D1"
"74","ATG9A","PA15_D3_4",0.00697696989800514,"DMEM",FALSE,"D1"
"75","ATG9A","PA15_D3_5",0.00754809764438866,"DMEM",FALSE,"D1"
"76","ATG9A","PA15_D4_3",0.00684670695196977,"DMEM",FALSE,"D2"
"77","ATG9A","PA15_D4_4",0.00642674805949205,"DMEM",FALSE,"D2"
"78","ATG9A","PA15_D4_5",0.00693688391374723,"DMEM",FALSE,"D2"
"79","ATG9A","PA15_D5_2",0.00678130321640892,"DMEM",FALSE,"D3"
"80","ATG9A","PA15_D5_4",0.00619547216671979,"DMEM",FALSE,"D3"
"81","ATG9A","PA15_D5_5",0.00639098175712462,"DMEM",FALSE,"D3"
"82","ATG9A","PA15_DB1_1",0.00771074155916334,"DMEM + BafA1",FALSE,"DB1"
"83","ATG9A","PA15_DB1_2",0.0066318910181509,"DMEM + BafA1",FALSE,"DB1"
